"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"18.09.2026","5.100,0","4.845,0","5.100,0","4.780,0","1,46M","5,15%"
"17.09.2026","4.850,0","4.900,0","4.950,0","4.800,0","227,57K","-1,42%"
"16.09.2026","4.920,0","4.870,0","4.920,0","4.870,0","150,72K","1,23%"
"15.09.2026","4.860,0","4.920,0","4.970,0","4.855,0","119,30K","-1,42%"
"14.09.2026","4.930,0","4.940,0","4.940,0","4.870,0","188,36K","2,71%"
"11.09.2026","4.800,0","4.950,0","5.020,0","4.800,0","220,36K","-4,38%"
"10.09.2026","5.020,0","4.835,0","5.020,0","4.835,0","475,47K","3,51%"
"09.09.2026","4.850,0","4.820,0","4.880,0","4.800,0","364,11K","1,04%"
"08.09.2026","4.800,0","4.785,0","4.850,0","4.755,0","432,37K","0,10%"
"07.09.2026","4.795,0","4.720,0","4.795,0","4.700,0","194,36K","0,95%"
"04.09.2026","4.750,0","4.760,0","4.780,0","4.715,0","136,55K","-0,21%"
"03.09.2026","4.760,0","4.780,0","4.780,0","4.745,0","53,27K","0,21%"
"02.09.2026","4.750,0","4.805,0","4.805,0","4.700,0","1,21M","-0,63%"
"01.09.2026","4.780,0","4.825,0","4.870,0","4.780,0","149,42K","-1,04%"
"31.08.2026","4.830,0","4.790,0","4.830,0","4.740,0","117,79K","0,73%"
"28.08.2026","4.795,0","4.800,0","4.800,0","4.720,0","120,86K","0,74%"
"27.08.2026","4.760,0","4.755,0","4.800,0","4.750,0","146,43K","0,11%"
"26.08.2026","4.755,0","4.800,0","4.800,0","4.730,0","157,97K","-0,83%"
"25.08.2026","4.795,0","4.800,0","4.850,0","4.750,0","177,39K","-0,21%"
"24.08.2026","4.805,0","4.800,0","4.905,0","4.800,0","150,84K","-0,10%"
"21.08.2026","4.810,0","4.850,0","4.850,0","4.800,0","202,25K","-0,21%"
"20.08.2026","4.820,0","4.895,0","4.895,0","4.820,0","105,89K","-1,33%"
"19.08.2026","4.885,0","4.940,0","4.940,0","4.815,0","206,53K","-1,71%"
"18.08.2026","4.970,0","4.990,0","4.990,0","4.840,0","153,93K","0,20%"
"14.08.2026","4.960,0","4.935,0","4.960,0","4.825,0","221,90K","1,12%"
"13.08.2026","4.905,0","4.970,0","4.985,0","4.900,0","71,55K","-1,01%"
"12.08.2026","4.955,0","4.900,0","4.975,0","4.850,0","134,27K","1,12%"
"11.08.2026","4.900,0","4.900,0","4.915,0","4.865,0","137,12K","0,00%"
"10.08.2026","4.900,0","5.000,0","5.000,0","4.835,0","243,89K","-1,90%"
"06.08.2026","4.995,0","4.990,0","5.050,0","4.990,0","348,25K","1,32%"
"05.08.2026","4.930,0","4.925,0","4.950,0","4.920,0","146,95K","-0,30%"
"04.08.2026","4.945,0","5.020,0","5.020,0","4.905,0","119,53K","-0,10%"
"03.08.2026","4.950,0","4.905,0","5.100,0","4.905,0","92,74K","-1,20%"
"31.07.2026","5.010,0","4.900,0","5.050,0","4.815,0","349,11K","3,41%"
"30.07.2026","4.845,0","4.850,0","4.865,0","4.830,0","137,44K","-0,62%"
"29.07.2026","4.875,0","5.040,0","5.040,0","4.825,0","58,56K","0,00%"
"28.07.2026","4.875,0","4.875,0","4.880,0","4.825,0","79,31K","-0,41%"
"27.07.2026","4.895,0","4.975,0","5.190,0","4.880,0","68,98K","-1,11%"
"24.07.2026","4.950,0","5.110,0","5.120,0","4.950,0","132,59K","-2,94%"
"23.07.2026","5.100,0","5.150,0","5.150,0","5.060,0","126,03K","-1,35%"
"22.07.2026","5.170,0","5.200,0","5.200,0","5.160,0","144,43K","-0,58%"
"21.07.2026","5.200,0","5.020,0","5.320,0","5.020,0","191,85K","-1,33%"
"17.07.2026","5.270,0","5.250,0","5.280,0","5.190,0","112,12K","-0,19%"
"16.07.2026","5.280,0","5.260,0","5.280,0","5.110,0","190,61K","-1,49%"
"15.07.2026","5.360,0","5.260,0","5.360,0","5.190,0","142,98K","1,90%"
"14.07.2026","5.260,0","5.380,0","5.400,0","5.190,0","191,88K","-2,23%"
"10.07.2026","5.380,0","5.160,0","5.380,0","5.120,0","456,08K","3,86%"
"09.07.2026","5.180,0","5.030,0","5.190,0","5.010,0","142,20K","2,98%"
