"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"18.09.2026","28.500,0","28.880,0","28.920,0","28.500,0","1,33M","-0,21%"
"17.09.2026","28.560,0","28.760,0","28.880,0","27.800,0","572,24K","0,21%"
"16.09.2026","28.500,0","29.160,0","29.280,0","28.500,0","434,09K","-1,38%"
"15.09.2026","28.900,0","30.180,0","30.240,0","28.800,0","285,74K","-3,22%"
"14.09.2026","29.860,0","30.400,0","30.740,0","29.860,0","73,19K","-2,03%"
"11.09.2026","30.480,0","31.140,0","31.140,0","30.480,0","107,31K","-1,10%"
"10.09.2026","30.820,0","31.120,0","31.360,0","30.620,0","130,74K","-1,85%"
"09.09.2026","31.400,0","30.400,0","31.460,0","30.400,0","335,70K","3,97%"
"08.09.2026","30.200,0","29.360,0","30.600,0","29.360,0","195,43K","2,03%"
"07.09.2026","29.600,0","29.060,0","29.960,0","29.060,0","71,43K","0,34%"
"04.09.2026","29.500,0","29.000,0","29.500,0","28.900,0","193,43K","1,51%"
"03.09.2026","29.060,0","29.100,0","29.100,0","28.700,0","216,25K","-0,14%"
"02.09.2026","29.100,0","29.200,0","29.440,0","29.100,0","92,72K","-0,34%"
"01.09.2026","29.200,0","28.540,0","29.480,0","28.500,0","231,58K","2,31%"
"31.08.2026","28.540,0","28.700,0","29.200,0","28.540,0","1,48M","-0,56%"
"28.08.2026","28.700,0","29.140,0","29.260,0","28.660,0","329,16K","-1,17%"
"27.08.2026","29.040,0","29.160,0","29.340,0","29.040,0","101,98K","-0,34%"
"26.08.2026","29.140,0","29.100,0","29.500,0","29.100,0","52,79K","-1,22%"
"25.08.2026","29.500,0","29.000,0","29.500,0","29.000,0","274,36K","1,72%"
"24.08.2026","29.000,0","28.640,0","29.040,0","28.620,0","195,45K","1,26%"
"21.08.2026","28.640,0","28.800,0","29.160,0","28.380,0","216,62K","-0,62%"
"20.08.2026","28.820,0","29.000,0","29.160,0","28.560,0","322,49K","-0,62%"
"19.08.2026","29.000,0","29.300,0","29.340,0","28.860,0","156,02K","-0,89%"
"18.08.2026","29.260,0","29.000,0","29.460,0","28.700,0","229,01K","0,21%"
"14.08.2026","29.200,0","28.820,0","29.440,0","28.820,0","111,73K","-0,88%"
"13.08.2026","29.460,0","29.400,0","29.460,0","28.800,0","222,70K","0,14%"
