empresa,año,trimestre,archivo,escala_detectada,efectivo,activo_corriente,activo_total,pasivo_corriente,pasivo_no_corriente,pasivo_total,patrimonio_total,ganancias_retenidas,inventarios,deuda_cp,deuda_lp,ingresos,utilidad_neta,utilidad_operativa,gastos_financieros,impuesto_renta,depreciacion_amortizacion,ingresos_trim,utilidad_neta_trim,gastos_financieros_trim,utilidad_operativa_trim,impuesto_renta_trim,depreciacion_amortizacion_trim,revisar_manualmente,ingresos_ltm,utilidad_neta_ltm,gastos_financieros_ltm,utilidad_operativa_ltm,impuesto_renta_ltm,depreciacion_amortizacion_ltm,ebitda_final_ltm,deuda_bruta_ebitda,deuda_neta_ebitda,pasivo_activo,deuda_patrimonio,perfil_vencimientos_cp,cobertura_intereses,ffo_intereses,ffo_deuda,razon_corriente,prueba_acida,caja_activos,caja_deuda_cp,margen_ebitda,margen_neto,zscore_x1,zscore_x2,zscore_x3,zscore_x4,zscore,zscore_zona
CELSIA,2020,1,Q1 2020.xbrl,0.001,502916.479,2031292.006,12258942.974,2281054.158,4315362.613,6596416.771,5662526.203,323020.11,221393.09,836886.912,3653404.723,1184559.91,65028.208,226528.173,-95978.231,-66916.909,12126.532,1184559.91,65028.208,-95978.231,226528.173,-66916.909,12126.532,,,,,,,,,,,0.5380901750656925,0.7929838157077399,0.186376961682579,,,,0.8905058211248311,0.7934484631381559,0.04102445700796846,0.6009372016562257,,,-0.020373873386124765,0.026349752232724597,,0.8584245658786013,,
CELSIA,2020,2,Q2 2020.xbrl,0.001,576094.321,2052267.789,12147314.989,2067633.516,4422371.541,6490005.057,5657309.932,323020.11,229634.211,819121.849,3761977.776,1819462.234,138120.576,458782.014,-213920.462,-117404.855,25882.089,634902.324,73092.368,-117942.231,232253.84100000001,-50487.945999999996,13755.557,,,,,,,,,,,0.5342748634473563,0.8097664225690507,0.1788046355791706,,,,0.9925684475120493,0.8815070774853894,0.04742565097897619,0.7033072328656685,,,-0.0012649484280200512,0.0265918937882578,,0.871695766384362,,
CELSIA,2020,3,Q3 2020.xbrl,0.001,372786.178,1545443.512,12139151.882,1818980.278,4521253.7930000005,6340234.071,5798917.811,323020.11,265853.19,713308.386,3854232.743,2638470.706,193792.1,625657.047,-251881.639,-144659.29200000002,40978.649,819008.4719999998,55671.524000000005,-37961.176999999996,166875.033,-27254.43700000002,15096.559999999998,,,,,,,,,,,0.5222962965313362,0.7876540550955569,0.1561690121345813,,,,0.8496208181538075,0.7034657480766816,0.030709408830510588,0.5226157231803524,,,-0.022533433032138072,0.026609775801468963,,0.9146220385654275,,
CELSIA,2020,4,CIERRE 2020.xbrl,0.001,399547.205,1426594.051,11810659.507,2055711.187,4014292.754,6070003.941000001,5740655.566000001,323020.11,167135.929,483336.146,3382519.223,3643877.37,249319.973,877364.881,-354770.516,-204354.994,55553.718,1005406.6640000003,55527.87299999999,-102888.87700000001,251707.83400000003,-59695.70199999999,14575.069000000003,,3643877.37,249319.973,-354770.516,877364.881,-204354.994,55553.718,863999.2009999999,4.474373777806307,4.011934455481054,0.5139428443773526,0.6734170556924161,0.12502696036583152,2.4353748748388093,0.8593546454689033,0.07886319116973665,0.6939661855330459,0.6126629703455517,0.03382937292902182,0.8266445791538215,0.23710984571360585,0.06842161458358846,-0.05326689298147421,0.027349879133214437,0.07428585003911078,0.9457416538438455,4.4819594368146705,segura
CELSIA,2021,1,Q1 2021.xbrl,0.001,283111.862,1516662.477,12273231.223,2319218.414,4347552.752,6666771.166,5606460.057,289816.424,178356.972,498103.938,3720381.124,995146.453,83504.07,221974.073,-71337.951,-53947.938,12641.397,995146.453,83504.07,-71337.951,221974.073,-53947.938,12641.397,,3454463.9129999997,267795.835,-330130.23600000003,872810.7810000001,-191386.02300000002,56068.583,845380.6770000001,4.990041973717835,4.655149221017739,0.5431960862520451,0.7524329111616463,0.11807649681799443,2.5607490160337814,0.9810201632061355,0.07677268337805959,0.6539541372406507,0.5770502238690831,0.023067426731882085,0.5683790879806295,0.2447212355638234,0.07752167680554377,-0.06539076160286238,0.023613701944837875,0.07111499532122846,0.8409558266515128,4.258913658768138,segura
CELSIA,2021,2,Q2 2021.xbrl,0.001,236749.189,1424080.216,12427459.836,2584146.937,4022927.696,6607074.633,5820385.203,289816.424,147738.12900000002,952113.067,3380203.642,1920372.975,140797.437,429962.623,-148615.179,-102753.725,25319.817,925226.5220000001,57293.367,-77277.228,207988.55000000002,-48805.787000000004,12678.419999999998,,3744788.111,251996.834,-289465.233,848545.49,-189703.864,54991.445999999996,786157.3770000001,5.510749928382341,5.209602606069547,0.5316512561851583,0.7443350496401845,0.21976995934347793,2.715895684094124,1.0605359297156078,0.0708600734018959,0.551083297783852,0.4939123502325828,0.01905048916868614,0.24865659048874286,0.2099337408946394,0.0672926815965316,-0.09334705050822262,0.023320648614003698,0.06827988190651192,0.8809322622040978,4.097488344873774,segura
CELSIA,2021,3,Q3 2021.xbrl,0.001,281513.51,1488082.883,12974110.724,2615568.053,4377369.33,6992937.383,5981173.341,249257.66,153826.972,875461.59,3664213.582,2939071.027,217309.544,648246.147,-230365.591,-150528.621,38217.829,1018698.0519999997,76512.10699999999,-81750.41199999998,218283.52399999998,-47774.89600000001,12898.011999999999,,3944477.691,272837.417,-333254.468,899953.981,-210224.323,52792.898,869109.106,5.223366250174808,4.899455813548915,0.5389916528201197,0.7589940824622559,0.19284674714166972,2.6079443472007706,0.9771221281870407,0.07172987111686678,0.5689329632594347,0.5101208930387559,0.021698096770458856,0.32156009265923363,0.22033566268685484,0.06916946637130822,-0.08690269367859912,0.019211926374184073,0.06936536924532571,0.8553163017790459,4.106766607644817,segura
CELSIA,2021,4,CIERRE 2021.xbrl,0.001,252799.348,1334947.764,12681489.23,1672281.243,4687286.762,6359568.005,6321921.225000001,267257.569,133104.315,492082.966,3982114.327,4110735.326,334546.58400000003,916603.411,-321072.297,-190222.793,52933.976,1171664.299,117237.04000000004,-90706.70600000003,268357.26399999997,-39694.17199999999,14716.147000000004,,4110735.326,334546.58400000003,-321072.297,916603.411,-190222.793,52933.976,898775.6500000001,4.978102480858264,4.696831678739849,0.5014843201503077,0.7077274666610543,0.10998240215510319,2.799293674346498,1.2068327402285974,0.08660336919121196,0.7982794578292115,0.7186850023169219,0.01993451584550216,0.5137331821398589,0.21864108942147936,0.08138363515744386,-0.02660046252312277,0.02107462019269483,0.07227884630707523,0.9940802928798936,4.673702382383934,segura
CELSIA,2022,1,Q1 2022.xbrl,0.001,288213.422,1398486.368,12883513.375,2120581.045,4882848.314,7003429.359,5880084.016,259953.39,139821.329,671874.828,4147482.528,1309468.303,102688.672,337532.977,-97610.691,-93903.203,13527.418,1309468.303,102688.672,-97610.691,337532.977,-93903.203,13527.418,,4425057.176,353731.18600000005,-347345.037,1032162.315,-230178.05800000002,53819.996999999996,985074.2779999999,4.892379654643667,4.599799258995573,0.5435962345946647,0.8196068870591456,0.13941170541411083,2.8360108050140354,1.1733323916760034,0.08456546234169732,0.6594826315633695,0.5935472459153289,0.022370716248819825,0.42896892395557945,0.22261277963654497,0.07993821818134177,-0.05604796269325097,0.020177212724009765,0.08011497213197094,0.8396006748384766,4.368056399519791,segura
CELSIA,2022,2,Q2 2022.xbrl,0.001,160085.304,1342155.154,13485086.457,2216117.679,5051074.546,7267192.225000001,6217894.232,259953.39,168652.232,834403.562,4320941.831,2586738.411,208441.284,701577.604,-212896.468,-182788.8587901001,26984.643,1277270.1079999998,105752.61200000001,-115285.77699999999,364044.62700000004,-88885.65579010009,13457.225,,4777100.762,402190.431,-385353.586,1188218.392,-270257.92679010006,54598.80200000001,1112400.7457901002,4.63443180212751,4.490522060421703,0.5389058682102598,0.8291143594029536,0.16185211627778903,2.886701424883328,1.185376883971699,0.0886049717677956,0.6056335215039815,0.5295309599847292,0.011871284956938559,0.19185596909041,0.23286105971195342,0.08419132252751925,-0.06480956038263537,0.019277102214280598,0.08811351679419195,0.855611636446014,4.3782076882337515,segura
