empresa,año,trimestre,archivo,escala_detectada,efectivo,activo_corriente,activo_total,pasivo_corriente,pasivo_no_corriente,pasivo_total,patrimonio_total,ganancias_retenidas,inventarios,deuda_cp,deuda_lp,ingresos,utilidad_neta,utilidad_operativa,gastos_financieros,impuesto_renta,depreciacion_amortizacion
CELSIA,2020,1,Q1 2020.xbrl,0.001,502916.479,2031292.006,12258942.974,2281054.158,4315362.613,6596416.771,5662526.203,323020.11,221393.09,836886.912,3653404.723,1184559.91,65028.208,226528.173,-95978.231,-66916.909,12126.532000000001
CELSIA,2020,2,Q2 2020.xbrl,0.001,576094.321,2052267.789,12147314.989,2067633.516,4422371.541,6490005.057,5657309.932,323020.11,229634.211,819121.849,3761977.776,1819462.234,138120.576,458782.014,-213920.462,-117404.855,25882.089
CELSIA,2020,3,Q3 2020.xbrl,0.001,372786.178,1545443.512,12139151.882000001,1818980.278,4521253.7930000005,6340234.071,5798917.811,323020.11,265853.19,713308.386,3854232.7430000002,2638470.7060000002,193792.1,625657.047,-251881.639,-144659.29200000002,40978.649
CELSIA,2020,4,CIERRE 2020.xbrl,0.001,399547.205,1426594.051,11810659.507000001,2055711.1870000002,4014292.754,6070003.941000001,5740655.566000001,323020.11,167135.929,483336.146,3382519.2229999998,3643877.37,249319.973,877364.881,-354770.516,-204354.994,55553.718
CELSIA,2021,1,Q1 2021.xbrl,0.001,283111.862,1516662.477,12273231.223000001,2319218.414,4347552.752,6666771.166,5606460.057,289816.424,178356.972,498103.938,3720381.1240000003,995146.453,83504.07,221974.073,-71337.951,-53947.938,12641.397
CELSIA,2021,2,Q2 2021.xbrl,0.001,236749.189,1424080.216,12427459.836000001,2584146.937,4022927.696,6607074.633,5820385.203,289816.424,147738.12900000002,952113.067,3380203.642,1920372.975,140797.437,429962.623,-148615.179,-102753.725,25319.817
CELSIA,2021,3,Q3 2021.xbrl,0.001,281513.51,1488082.8830000001,12974110.724,2615568.053,4377369.33,6992937.383,5981173.341,249257.66,153826.972,875461.59,3664213.582,2939071.0270000002,217309.544,648246.147,-230365.59100000001,-150528.621,38217.829
CELSIA,2021,4,CIERRE 2021.xbrl,0.001,252799.348,1334947.764,12681489.23,1672281.243,4687286.762,6359568.005,6321921.225000001,267257.569,133104.315,492082.966,3982114.327,4110735.326,334546.58400000003,916603.411,-321072.297,-190222.793,52933.976
CELSIA,2022,1,Q1 2022.xbrl,0.001,288213.422,1398486.368,12883513.375,2120581.045,4882848.314,7003429.359,5880084.016,259953.39,139821.329,671874.828,4147482.528,1309468.303,102688.672,337532.977,-97610.691,-93903.20300000001,13527.418
CELSIA,2022,2,Q2 2022.xbrl,0.001,160085.304,1342155.154,13485086.457,2216117.679,5051074.546,7267192.225000001,6217894.232,259953.39,168652.232,834403.562,4320941.831,2586738.411,208441.284,701577.604,-212896.468,-182788.85879010012,26984.643
